# Stock LG V60 vendor module symbol CRCs (extracted from /vendor/lib/modules/*.ko)
# Format: <symbol> 0x<crc32>
# A built kernel whose symbols differ from any entry here will make the
# corresponding stock module refuse to load (module_layout / disagrees about version).
PDE_DATA 0xe686865f
driver_register 0xb5546bf6
driver_unregister 0x9684e07c
dummy_dma_ops 0x48cfabf6
dump_stack 0x6b2dc060
enable_irq 0xfcec0987
es9218_headset_state 0x3f5bfe7e
es9218_hifi_exception_state_get 0xff012215
es9218_hifi_exception_state_put 0x6773ed33
es9218_hsdet_l_switch_gpio_L 0xf60b097b
es9218_mode_get 0xc08a1694
es9218_sabre_headphone_off 0x04a33029
es9218_sabre_headphone_on 0xf05de7dd
eth_type_trans 0x0b6b179c
ether_setup 0x20606801
find_next_bit 0xc0a3d105
finish_wait 0x92540fbf
flush_work 0xa7ab6d28
flush_workqueue 0x42160169
free_irq 0xc1514a3b
free_netdev 0xa3cd24a9
free_pages 0x4302d0eb
freezing_slow_path 0xb23c3700
fsa4480_reg_notifier 0x5932dfa1
fsa4480_switch_event 0xd37a2533
fsa4480_unreg_notifier 0xc5b560a7
genl_register_family 0x1db73cf3
genl_unregister_family 0xcee25e85
genlmsg_put 0x29578dc7
get_current_napi_context 0x76173d3c
get_device 0x524d890c
get_matching_swr_slave_device 0x978a140c
get_random_bytes 0x79aa04a2
get_service_location 0x2efaac78
get_zeroed_page 0x9b388444
gpio_free 0xfe990052
gpio_request 0x47229b5c
gpio_request_one 0x403f9529
gpio_to_desc 0xa6a2af66
gpiochip_add_data_with_key 0x61b5ef67
gpiochip_add_pin_range 0x46d49a49
gpiochip_generic_free 0x9bf0d647
gpiochip_generic_request 0xbdbb908b
gpiochip_get_data 0x1e9f1801
gpiochip_remove 0x9c4edec5
gpiod_direction_output_raw 0x8f43d5ee
gpiod_get_raw_value 0x32740a1f
gpiod_get_raw_value_cansleep 0x2a360adc
gpiod_set_raw_value 0x65341603
gpiod_set_raw_value_cansleep 0xa7294ab8
gpiod_to_irq 0xe7161df7
gro_cells_receive 0xcf9555a9
handle_nested_irq 0x549525ef
handle_simple_irq 0xbf3d99a6
hex2bin 0x2edbeaf7
hex_dump_to_buffer 0xfe916dc6
hex_to_bin 0x11f7ed4c
hrtimer_active 0x52877b24
hrtimer_cancel 0xc5fe1b56
hrtimer_forward 0x4262234f
hrtimer_init 0x756a0096
hrtimer_start_range_ns 0xc324e316
i2c_del_driver 0xba359025
i2c_register_driver 0xfe0e1330
i2c_smbus_read_byte_data 0x213e86be
i2c_smbus_write_block_data 0xbee9ee64
i2c_smbus_write_byte_data 0x8c515a44
i2c_transfer 0x3feca37b
i2c_transfer_buffer_flags 0x88c99e98
idr_alloc 0x4e665b96
idr_destroy 0x5469ff4f
idr_find 0x9b40d44b
idr_remove 0x9fc141e3
ieee80211_freq_khz_to_channel 0x6bedf402
ieee80211_get_channel_khz 0x5f583aaa
ieee80211_hdrlen 0x7ef39823
init_dummy_netdev 0xe9e4ddb0
init_net 0x2807dfc8
init_timer_key 0x79cf5987
init_wait_entry 0xfe487975
input_allocate_device 0x89ea6ee4
input_close_device 0x61c2d2f7
input_event 0x576b2079
input_free_device 0xe424b173
input_open_device 0x9624a956
input_register_device 0xa7efa7e9
input_register_handle 0x2f2520f1
input_register_handler 0x1d64faa5
input_set_abs_params 0x95b4d6e8
input_set_capability 0xf2254f0b
input_unregister_device 0xe901fa4b
input_unregister_handle 0xbd7e45d7
input_unregister_handler 0xe3627e0d
iommu_domain_get_attr 0xe90463bd
iommu_iova_to_phys 0xb3288d15
ion_alloc 0x8256a1e1
ipa_free_skb 0x805d3af5
ipa_get_lan_rx_napi 0x930dacc2
ipa_get_smmu_params 0x1e11b462
ipa_get_wdi_stats 0x47ce0010
ipa_is_ready 0x4455296a
ipa_send_msg 0x804e397e
ipa_setup_sys_pipe 0xa40814f1
ipa_uc_bw_monitor 0x4c839de6
ipa_uc_reg_rdyCB 0xd31a6c52
ipa_wdi_cleanup 0x9cd51f9b
ipa_wdi_conn_pipes 0x424502d7
ipa_wdi_create_smmu_mapping 0xcf72ac45
ipa_wdi_dereg_intf 0x5cfec53d
ipa_wdi_disable_pipes 0x80b5bafc
ipa_wdi_disconn_pipes 0xcd0e23d6
ipa_wdi_enable_pipes 0x5cb0915d
ipa_wdi_init 0x82733866
ipa_wdi_reg_intf 0xe0f136d5
ipa_wdi_release_smmu_mapping 0x6bceca2b
ipa_wdi_set_perf_profile 0x3bb48868
ipa_wdi_sw_stats 0xf8d86b61
ipc_log_context_create 0xd9b71446
ipv6_skip_exthdr 0x812a465c
irq_create_mapping 0xcf9b3c68
irq_find_mapping 0x23ebfdac
irq_get_irq_data 0xe66e9eb2
irq_modify_status 0x7522f3ba
irq_of_parse_and_map 0x4710364e
irq_set_affinity_hint 0xca138548
irq_set_chip_and_handler_name 0x838c6b66
irq_set_irq_wake 0xce2840e7
irq_to_desc 0xc3d0c930
is_voc_initialized 0x4fd1233e
jiffies 0x15ba50a6
jiffies_to_msecs 0x37befc70
jiffies_to_usecs 0x7f24de73
kernel_kobj 0xf9313da1
kfree 0x037a0cba
kfree_skb 0x04545dfe
kfree_skb_list 0x4cc4358d
kimage_voffset 0xe4bbc1dd
kmalloc_caches 0x6a142d9a
kmalloc_order_trace 0xa202a8e5
kmem_cache_alloc 0xc2be29f4
kmem_cache_alloc_trace 0x8e72b6b4
kmem_cache_create 0x3c2b5c81
kmem_cache_destroy 0x11896200
kmem_cache_free 0xa7481fdb
kobject_create_and_add 0xaa12b869
kobject_del 0x76f69f99
kobject_init_and_add 0xb68994b1
kobject_put 0x884b5997
kobject_uevent 0xd5cad8cf
kobject_uevent_env 0xb932e1c3
krealloc 0x7c2d098f
kset_create_and_add 0x790aa6a5
kset_unregister 0xfd557a83
ksize 0x04ea5d10
kstrndup 0xaf6ae696
kstrtoint 0x2276db98
kstrtos8 0xbcbdf60f
kstrtou16 0x7b0192da
kstrtou8 0x46045dd7
kstrtouint 0x69ad2f20
kthread_create_on_node 0xf7b80a55
kthread_should_stop 0xb3f7646e
kthread_stop 0x1d34697b
ktime_get 0xb43f9365
ktime_get_raw_ts64 0x1edb69d6
ktime_get_real_ts64 0x9ec6ca96
ktime_get_ts64 0x5e515be6
ktime_get_with_offset 0xc4f0da12
kzfree 0x7a4497db
lge_get_board_rev_no_for_dlkm 0x3faea6f4
lge_get_boot_mode 0x79127ffb
list_sort 0xf0ef15b4
mac_pton 0x652032cb
memcmp 0x449ad0a7
memcpy 0x4829a47e
memdup_user 0x9291cd3b
memmove 0x5a9f1d63
memset 0xdcb764ad
memstart_addr 0x9688de8b
mhi_device_get_sync 0x6023943a
mhi_device_put 0x9d34717d
mhi_driver_register 0x662c502a
mhi_driver_unregister 0xa18676d0
misc_deregister 0xcd17d4ca
misc_register 0x5090146c
mod_timer 0x72cd0f7f
module_layout 0xd273bd0c
module_put 0x0b492ead
msleep 0xf9a482f9
msleep_interruptible 0xcc5005fe
msm_aud_evt_blocking_notifier_call_chain 0x47870e4e
msm_aud_evt_register_client 0x60da26db
msm_aud_evt_unregister_client 0xd321270e
msm_audio_effects_bass_boost_handler 0xb4574c93
msm_audio_effects_is_effmodule_supp_in_top 0x0d5c1e5d
msm_audio_effects_pbe_handler 0x758b74d6
msm_audio_effects_popless_eq_handler 0x16f1a304
msm_audio_effects_reverb_handler 0x4e7e5fa0
msm_audio_effects_virtualizer_handler 0xe0ad1696
msm_audio_effects_volume_handler_v2 0x642b10ca
msm_audio_ion_alloc 0x4f7980ab
msm_audio_ion_free 0xb22a5dde
msm_audio_ion_import 0x856aa730
msm_audio_ion_mmap 0x69f20d8e
msm_audio_populate_upper_32_bits 0x6837e2fe
msm_cdc_disable_ondemand_supply 0x7b6c891d
msm_cdc_enable_ondemand_supply 0x8d88f9dd
msm_cdc_enable_static_supplies 0xea4b2ab3
msm_cdc_get_power_supplies 0x2645b7e7
msm_cdc_init_supplies 0x21d5daef
msm_cdc_is_ondemand_supply 0x3b9bcd44
msm_cdc_pinctrl_get_state 0xb8b18dff
msm_cdc_pinctrl_select_active_state 0xbb2188cb
msm_cdc_pinctrl_select_sleep_state 0x9322f1d1
msm_cdc_pinctrl_set_wakeup_capable 0xedbb8425
msm_cdc_set_supplies_lpm_mode 0xebec04aa
msm_cpuidle_get_deep_idle_latency 0x9b803c61
msm_ext_disp_register_audio_codec 0xa5415aef
msm_ext_disp_select_audio_codec 0x24769336
msm_gpio_mpm_wake_set 0xdc9d499c
msm_pcie_debug_info 0x554fbfa5
mutex_lock 0x41aed6e7
mutex_trylock 0xb3b42a38
mutex_unlock 0xa6093a32
napi_complete_done 0xbfb0ec81
napi_disable 0x2e50e412
napi_gro_flush 0xd1c9f90d
napi_gro_receive 0xaae6a166
napi_schedule_prep 0xea4bbfea
netdev_update_features 0x57be0677
netif_carrier_off 0xb02ec53c
netif_carrier_on 0x4cec0956
netif_napi_add 0xf2676bc4
netif_napi_del 0x62594d34
netif_receive_skb 0x7e1e8d30
netif_rx 0xc32c386a
netif_rx_ni 0x6b930a6b
netif_tx_stop_all_queues 0xc500cffb
netif_tx_wake_queue 0xd8fe6ec4
netlink_broadcast 0x453807d2
netlink_kernel_release 0xf6f1c72c
netlink_unicast 0xa57a1394
nla_memcpy 0xf1db1704
nla_put 0xa6739138
nla_put_64bit 0x9b155c95
no_llseek 0x280ada73
nr_cpu_ids 0x017de3d5
ns_to_timespec 0x66decfd5
nvmem_cell_get 0xc5f5497f
nvmem_cell_put 0x85540ebc
nvmem_cell_read 0x99f018c4
of_alias_get_id 0x29c662e3
of_clk_add_provider 0x8651ca91
of_clk_src_onecell_get 0x291f733e
of_count_phandle_with_args 0x90d3af6b
of_device_get_match_data 0x02139627
of_device_is_compatible 0xa9fdbf8f
of_find_device_by_node 0x0289615a
of_find_property 0x86863dfe
of_get_named_gpio_flags 0x9566f382
of_get_next_available_child 0x6a19beec
of_get_parent 0x098564d4
of_get_property 0xea9a7e9e
